#options: 4320x7680 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=13500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:8 cpbdur:8 q:40.95 aq:32.24 tex:671230 mv:384515 misc:8887 imb:129600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:8 cpbdur:8 q:41.33 aq:35.49 tex:295844 mv:232561 misc:70315 imb:33472 pmb:6119 smb:90009 d:- ref:0 ;
in:2 out:2 type:B dur:8 cpbdur:8 q:41.33 aq:35.94 tex:98234 mv:190176 misc:64846 imb:7053 pmb:14373 smb:108174 d:- ref:0 ;
in:1 out:3 type:b dur:8 cpbdur:8 q:41.33 aq:36.39 tex:55507 mv:117379 misc:47114 imb:3451 pmb:10296 smb:115853 d:- ref:0 ;
in:3 out:4 type:b dur:8 cpbdur:8 q:41.33 aq:36.54 tex:52744 mv:117860 misc:48076 imb:3443 pmb:9944 smb:116213 d:- ref:0 ;
in:8 out:5 type:P dur:8 cpbdur:8 q:41.45 aq:34.63 tex:273757 mv:239860 misc:73087 imb:39502 pmb:5974 smb:84124 d:- ref:0 ;
in:6 out:6 type:B dur:8 cpbdur:8 q:41.39 aq:34.87 tex:123168 mv:221019 misc:71021 imb:10486 pmb:13535 smb:105579 d:- ref:0 ;
in:5 out:7 type:b dur:8 cpbdur:8 q:41.36 aq:36.64 tex:69817 mv:133407 misc:51352 imb:5151 pmb:9654 smb:114795 d:- ref:0 ;
in:7 out:8 type:b dur:8 cpbdur:8 q:41.42 aq:36.12 tex:77946 mv:144421 misc:51769 imb:5589 pmb:9934 smb:114077 d:- ref:0 ;
in:11 out:9 type:P dur:8 cpbdur:8 q:41.54 aq:34.94 tex:257831 mv:221626 misc:71327 imb:39621 pmb:4251 smb:85728 d:- ref:0 ;
in:9 out:10 type:B dur:8 cpbdur:8 q:41.48 aq:35.12 tex:96355 mv:189704 misc:66445 imb:8035 pmb:12675 smb:108890 d:- ref:0 ;
in:10 out:11 type:b dur:8 cpbdur:8 q:41.51 aq:35.81 tex:75061 mv:162786 misc:58913 imb:6389 pmb:11400 smb:111811 d:- ref:0 ;
in:12 out:12 type:P dur:8 cpbdur:8 q:45.54 aq:38.25 tex:107471 mv:126758 misc:50227 imb:20591 pmb:2979 smb:106030 d:- ref:0 ;
in:13 out:13 type:P dur:8 cpbdur:8 q:46.40 aq:36.86 tex:219889 mv:195092 misc:51939 imb:53468 pmb:2263 smb:73869 d:- ref:0 ;
in:14 out:14 type:i dur:8 cpbdur:8 q:39.49 aq:29.85 tex:738442 mv:425497 misc:3237 imb:129600 pmb:0 smb:0 d:- ref:;
in:18 out:15 type:P dur:8 cpbdur:8 q:43.59 aq:37.57 tex:218887 mv:194946 misc:63071 imb:28480 pmb:5010 smb:96110 d:- ref:0 ;
in:16 out:16 type:B dur:8 cpbdur:8 q:43.59 aq:37.70 tex:83184 mv:159046 misc:56346 imb:6155 pmb:12256 smb:111189 d:- ref:0 ;
in:15 out:17 type:b dur:8 cpbdur:8 q:43.59 aq:38.94 tex:58966 mv:108512 misc:44178 imb:4258 pmb:9204 smb:116138 d:- ref:0 ;
